Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response
1971,0,2,1,0,1,2,412,5,119,38,29,77,3,3,3,12,0,0,0,0,0,0,0
1974,0,2,0,1,0,8,3,3,7,6,2,9,1,1,0,2,3,0,0,0,0,0,0
1965,1,3,1,1,1,0,16,0,3,0,0,1,1,1,0,2,3,0,0,0,0,0,0
1961,1,3,1,0,1,4,731,60,353,78,12,73,5,10,3,5,3,0,0,0,0,0,0
1953,0,0,1,0,1,7,424,17,118,7,23,41,6,8,2,8,3,0,0,0,0,0,0
1957,0,2,1,0,0,4,792,0,275,45,45,126,1,4,8,5,1,0,0,0,0,0,0
1976,1,3,0,1,0,3,21,2,28,3,2,9,3,2,0,4,3,0,0,0,0,0,0
1984,0,2,0,1,0,0,22,1,11,0,1,2,1,1,0,3,3,0,0,0,0,0,0
1950,1,2,1,2,1,3,33,0,5,0,0,0,1,1,0,3,1,0,0,0,0,0,0
1986,1,0,0,1,0,2,68,7,59,10,5,11,4,3,1,4,3,0,0,0,0,0,0
1983,0,0,0,1,0,7,9,1,6,3,0,4,1,1,0,2,3,0,0,0,0,0,0
1989,1,0,0,0,0,4,40,2,15,8,0,6,1,1,1,3,1,0,0,0,0,0,0
1956,1,2,1,0,1,8,909,11,218,0,0,23,2,9,3,5,2,0,0,0,0,0,1
1971,2,2,0,1,0,1,23,1,13,2,2,18,1,1,1,2,3,1,0,0,0,0,1
1983,0,1,0,1,0,5,11,2,9,3,0,8,2,2,0,3,3,0,0,0,0,0,0
1960,0,3,1,0,2,3,317,46,247,151,46,139,1,4,5,12,1,0,0,0,0,0,0
1972,0,2,0,1,0,1,10,2,16,11,2,21,1,1,0,3,3,0,0,0,0,0,0
1965,0,1,2,0,0,1,856,61,570,40,25,122,1,7,6,8,1,0,0,1,0,0,1
1988,0,0,1,0,0,9,456,19,832,75,118,38,1,4,5,11,1,0,0,0,0,0,0
1986,0,3,1,0,0,1,37,32,38,11,3,18,1,2,1,4,2,0,0,0,0,0,0
1969,1,2,1,0,1,6,1103,0,45,0,0,34,3,4,2,11,3,0,1,0,0,1,0
1950,1,1,1,0,1,7,378,14,68,19,14,14,2,3,5,8,1,0,0,0,0,0,0
1973,3,1,0,1,0,1,1,6,7,0,1,3,1,1,0,2,3,1,0,0,0,0,1
1965,0,2,1,1,1,6,30,0,9,0,0,3,2,1,0,3,2,0,0,0,0,0,0
1971,0,4,0,1,1,3,15,0,12,7,3,7,3,2,0,3,3,0,0,0,0,0,0
1976,2,2,0,1,0,9,9,0,3,0,0,4,1,1,0,2,2,1,0,0,0,0,0
1957,0,2,2,0,1,9,495,33,255,11,33,8,4,6,7,9,1,0,0,0,0,0,0
1986,0,2,2,1,0,9,656,80,455,52,107,93,2,8,4,8,1,1,0,1,0,0,0
1966,1,0,2,0,0,3,452,20,514,13,30,0,3,4,6,5,1,0,0,0,0,0,1
1974,0,2,2,0,0,1,546,91,410,119,0,22,1,3,4,10,0,0,0,0,0,0,0
1976,1,0,1,0,1,5,1048,0,217,0,0,12,5,11,3,5,2,0,0,0,0,0,0
1978,0,0,1,1,1,4,22,2,14,0,1,10,2,2,0,3,3,0,0,0,0,0,0
1955,0,2,1,0,1,6,78,0,11,0,0,10,1,2,0,4,2,0,1,0,0,0,0
1969,1,2,1,0,0,0,561,64,785,84,128,48,1,3,3,8,0,0,0,0,0,0,0
1943,2,2,1,0,0,6,629,17,177,69,0,8,1,5,3,5,0,0,0,0,0,0,0
1948,1,1,1,0,2,5,269,15,69,15,19,38,2,4,6,4,2,0,0,0,0,0,0
1969,1,4,1,0,1,3,512,0,83,0,0,41,3,6,2,10,1,0,0,0,0,0,0
1978,0,2,0,2,0,5,19,3,10,11,8,6,3,2,1,4,1,0,0,0,0,0,0
1978,1,2,1,1,0,3,9,0,6,4,1,5,1,1,0,2,4,0,0,0,0,0,0
1967,0,2,1,1,1,6,247,8,160,6,8,65,7,6,3,6,3,0,0,0,0,0,0
1969,0,0,1,0,1,6,404,0,92,28,27,142,2,6,2,9,1,0,0,0,0,0,0
1960,0,2,2,0,0,6,333,0,815,129,42,29,1,4,10,11,0,0,0,0,0,0,0
1976,0,3,0,1,0,8,2,3,20,6,11,9,2,2,0,3,3,0,0,0,0,0,0
1975,1,0,1,0,1,6,789,0,142,12,9,38,2,2,4,8,3,0,0,0,0,0,0
1984,4,2,0,1,0,6,10,4,7,0,6,3,1,1,0,3,2,0,0,0,0,0,0
1975,0,2,1,1,1,6,159,4,45,6,2,38,6,5,1,4,3,0,0,0,0,0,0
1970,2,0,0,1,0,5,7,1,6,3,1,11,1,1,1,2,1,1,0,0,0,0,0
1966,0,0,1,0,1,4,977,12,253,16,12,101,4,4,3,12,3,0,1,0,0,0,0
1972,1,0,1,1,1,0,38,4,22,3,3,3,3,3,0,3,3,0,0,0,0,0,1
1975,2,0,1,1,1,8,57,0,27,0,0,36,4,3,2,2,3,0,0,0,0,0,0
1970,0,0,0,0,0,2,3,9,15,13,2,39,1,1,1,2,4,1,0,0,0,0,1
1989,0,0,0,1,0,1,10,4,14,4,4,1,1,1,0,3,3,0,0,0,0,0,0
1961,1,1,1,0,1,1,1043,24,97,32,24,157,2,3,5,10,2,0,0,0,0,0,0
1969,0,0,0,1,0,9,3,9,13,2,12,12,1,1,0,3,3,0,0,0,0,0,0
1969,1,2,0,2,0,3,11,0,5,0,0,1,1,1,0,2,3,0,0,0,0,0,0
1985,0,2,0,1,0,7,3,6,5,0,2,6,1,0,0,3,3,0,0,0,0,0,0
1954,0,4,0,0,0,1,43,12,96,78,40,55,3,4,1,6,3,0,0,0,0,0,0
1973,4,2,0,2,1,9,73,3,90,12,1,32,7,4,1,4,3,0,0,0,0,0,0
1981,2,0,0,1,0,3,12,0,1,0,0,6,1,0,1,2,1,0,0,0,0,0,0
1971,0,0,0,1,0,3,4,7,7,6,4,13,3,1,2,2,2,0,0,0,0,0,0
1968,2,1,1,0,1,1,314,11,53,4,3,107,3,7,3,4,3,0,1,0,0,0,1
1960,0,1,1,0,1,7,571,50,142,33,50,159,4,4,5,13,0,0,0,0,0,0,0
1949,0,1,1,0,1,5,70,0,11,2,8,23,1,2,1,3,2,0,0,0,0,0,0
1968,1,3,2,1,1,5,866,21,151,28,21,86,3,2,2,12,2,0,0,0,0,0,0
1979,2,1,1,1,0,0,140,4,61,0,13,4,2,3,1,6,1,0,0,0,0,0,0
1946,1,2,1,0,0,8,102,9,63,2,9,24,1,4,1,4,2,0,0,0,0,0,0
1968,2,2,2,0,1,8,554,35,113,0,7,78,3,5,3,12,1,0,0,0,0,0,0
1991,1,1,1,0,0,5,919,0,505,99,30,45,1,4,9,10,0,0,0,0,0,0,0
1971,0,2,1,1,1,1,96,1,42,12,3,32,4,3,1,4,3,0,0,0,0,0,0
1984,0,1,0,1,0,5,5,2,16,3,2,19,2,1,1,2,3,0,0,0,0,0,1
1987,0,0,0,1,0,7,2,0,6,8,6,5,1,1,0,3,3,0,0,0,0,0,0
1980,4,1,0,1,0,7,6,4,9,6,36,35,4,2,2,3,3,0,0,0,0,0,1
1956,4,3,0,1,1,8,23,1,25,0,8,7,4,2,1,3,2,0,0,0,0,0,0
1965,0,1,2,0,0,0,610,105,125,137,42,21,1,9,4,9,2,0,0,0,0,0,0
1974,0,0,1,1,1,8,67,5,61,3,8,19,5,2,1,5,2,0,0,0,0,0,0
1960,0,1,0,0,0,2,65,36,74,38,20,110,1,5,1,4,3,0,0,0,0,0,0
1955,1,0,1,1,2,1,416,0,26,0,0,4,9,6,3,6,3,0,1,0,0,0,1
1965,0,2,1,1,1,5,23,0,11,3,2,2,1,1,0,3,2,0,0,0,0,0,0
1972,1,0,0,1,0,1,19,3,26,10,9,3,3,2,0,4,3,0,0,0,0,0,1
1971,1,3,1,1,1,0,155,7,80,13,7,10,3,5,1,5,2,0,0,0,0,0,0
1974,1,1,0,1,0,1,14,0,24,3,3,2,1,3,0,2,4,0,0,0,0,0,0
1963,0,2,1,0,2,2,370,9,92,6,9,4,3,7,1,8,3,0,0,0,0,0,0
1982,4,0,0,1,0,7,4,22,11,3,7,32,2,3,0,3,3,0,0,0,0,0,1
1955,1,2,1,0,1,0,1200,0,204,38,29,14,3,11,9,12,2,0,0,0,1,0,0
1987,0,0,1,1,0,9,85,44,54,102,78,6,3,5,1,7,3,0,0,0,0,0,0
1962,0,1,2,0,1,8,583,34,309,0,22,125,2,5,4,8,1,0,0,0,0,0,0
1943,1,2,2,0,0,7,483,0,591,156,0,12,1,3,5,10,0,0,0,0,0,0,0
1975,4,1,0,1,0,2,2,5,9,28,6,28,3,2,1,3,2,1,0,0,0,0,0
1994,0,1,2,0,0,1,966,26,282,52,26,26,1,2,7,11,2,0,1,1,1,1,0
1971,2,2,1,1,1,0,604,0,100,19,0,28,9,10,2,8,3,0,0,0,0,0,0
1973,1,2,1,1,0,1,19,3,19,3,1,3,2,2,0,3,3,0,0,0,0,0,0
1983,0,2,0,1,0,3,5,3,11,12,5,9,1,2,0,3,2,0,0,0,0,0,0
1982,2,1,0,1,0,7,2,2,2,2,1,1,1,1,0,2,3,0,0,0,0,0,0
1974,2,2,2,0,0,2,1076,68,103,29,91,68,1,3,4,8,0,0,1,1,0,0,1
1941,1,2,2,0,0,7,1285,42,716,55,0,21,0,7,10,5,0,0,0,1,0,0,0
1953,0,2,1,1,2,0,10,0,7,2,0,1,1,1,0,2,3,0,0,0,0,0,0
1989,0,2,2,1,0,2,800,0,297,0,34,57,2,2,5,10,2,0,1,0,1,0,0
1989,4,1,0,1,0,5,2,2,11,10,6,12,2,1,0,4,2,0,0,0,0,0,0
1961,1,0,2,0,0,0,1248,16,349,43,16,16,1,2,4,9,1,0,1,1,1,1,1
1989,0,2,1,1,0,4,235,0,235,19,4,191,5,8,1,7,3,0,0,0,0,0,0
1964,0,2,2,0,1,2,438,66,400,12,38,114,1,8,3,13,1,0,0,0,0,0,0
1970,0,0,0,1,0,2,25,0,22,2,3,5,2,1,0,4,2,0,0,0,0,0,0
1956,2,1,1,0,1,4,31,0,7,2,0,6,1,1,0,3,2,0,0,0,0,0,0
1966,0,3,1,0,1,1,357,35,271,28,28,14,3,6,2,12,2,0,0,0,0,0,0
1949,2,4,1,0,1,1,400,4,35,6,0,22,2,9,1,5,3,0,0,0,0,0,0
1971,1,2,0,1,0,8,99,0,15,2,1,5,3,2,1,4,3,0,0,0,0,0,0
1986,4,2,0,1,0,9,1,11,5,4,6,9,2,2,0,3,3,0,0,0,0,0,0
1989,0,2,0,1,0,5,5,4,13,8,0,4,1,1,0,3,3,0,0,0,0,0,0
1948,1,2,1,0,1,7,77,28,31,16,0,4,2,2,1,5,1,0,0,0,0,0,0
1946,0,2,0,0,0,1,3,1,2,4,3,1,1,0,0,3,2,0,0,0,0,0,0
1989,0,0,0,1,0,1,10,4,14,4,4,1,1,1,0,3,3,0,0,0,0,0,0
1974,4,2,0,0,0,9,0,6,3,7,6,12,1,1,0,3,3,0,0,0,0,0,0
1959,0,3,0,0,0,7,0,0,1,2,12,5,1,1,0,2,3,0,0,0,0,0,0
1972,2,3,1,1,0,9,76,14,74,13,5,10,2,5,0,4,3,0,0,0,0,0,0
1976,0,2,0,1,0,0,14,7,11,11,0,5,2,2,0,3,3,0,0,0,0,0,0
1953,1,2,1,0,1,9,208,7,82,30,66,35,2,3,2,9,1,0,0,0,0,0,0
1955,0,0,1,0,1,7,430,16,322,43,24,33,5,4,7,11,1,0,0,0,0,0,0
1969,0,2,1,0,1,2,656,38,161,62,47,37,3,8,9,7,3,0,0,0,0,0,0
1971,2,0,0,1,0,1,14,2,30,8,2,3,1,2,0,4,2,0,0,0,0,0,0
1980,4,2,2,1,1,8,141,70,106,72,19,23,2,4,2,8,1,0,0,0,0,0,0
1976,0,2,1,0,1,2,507,19,364,25,47,9,3,9,5,10,3,0,0,0,0,0,0
1972,0,2,1,1,2,9,164,24,103,12,3,42,7,5,1,6,3,0,0,0,0,0,0
1984,2,2,1,1,0,7,116,11,72,3,17,46,4,4,1,5,2,1,0,0,0,0,1
1952,0,2,1,0,1,5,143,15,60,24,23,5,2,2,1,8,0,0,0,0,0,0,0
1964,0,2,1,0,1,0,522,0,257,32,16,66,4,2,2,8,3,0,0,0,1,0,1
1958,1,4,1,0,1,2,112,0,6,2,1,14,2,3,1,3,2,0,0,0,0,0,0
1975,0,2,0,1,0,4,7,5,39,17,15,37,2,4,0,3,3,0,0,0,0,0,0
1969,1,0,1,0,0,8,789,25,420,16,38,0,1,2,8,9,0,0,0,0,0,0,0
1955,1,1,2,0,0,1,1239,17,413,23,34,17,1,5,6,5,0,0,1,1,0,0,1
1970,0,4,0,1,0,1,4,1,5,2,0,3,1,1,0,2,3,0,0,0,0,0,0
1951,0,2,1,0,2,8,335,42,127,28,5,5,3,7,2,8,2,0,0,0,0,0,0
1971,1,1,1,1,0,9,639,8,166,11,8,58,3,7,3,12,3,0,0,0,0,0,0
1980,0,2,1,1,0,1,2,0,8,2,2,3,1,1,0,2,3,0,0,0,0,0,1
1981,1,1,1,1,0,8,746,8,125,11,8,8,7,8,6,9,2,0,1,0,0,0,1
1978,0,2,1,1,1,9,22,1,13,4,0,4,2,1,0,3,3,0,0,0,0,0,0
1988,0,0,0,1,0,5,4,1,6,4,1,9,1,1,1,2,2,0,0,0,0,0,0
1956,0,2,1,0,1,4,478,0,193,110,75,117,4,8,3,11,2,0,0,0,0,0,0
1972,1,0,1,1,1,6,20,3,4,2,0,2,2,1,0,3,1,0,0,0,0,0,0
1977,2,2,1,0,1,1,451,0,39,0,4,24,1,7,1,8,2,0,0,0,0,0,0
1972,1,2,1,0,1,9,371,22,39,6,0,92,4,6,2,7,2,0,0,0,0,0,0
1977,0,2,1,1,0,4,281,7,84,15,0,119,7,7,3,4,3,0,0,0,0,0,0
1973,2,2,1,1,0,6,19,7,19,0,1,24,1,2,1,2,3,0,0,0,0,0,0
1972,2,3,1,1,0,5,26,3,13,2,10,0,1,2,0,3,2,0,0,0,0,0,0
1974,0,0,0,1,0,2,138,15,35,25,11,72,2,6,2,2,4,1,0,0,0,0,1
1975,0,2,1,0,1,3,213,2,44,0,2,5,4,4,2,5,2,0,0,0,0,0,0
1960,2,1,2,0,0,9,407,28,100,120,74,18,1,5,9,4,1,0,0,0,0,0,0
1964,1,3,2,0,0,3,483,74,114,169,37,18,1,5,10,13,1,0,0,0,0,0,1
1976,2,1,1,0,1,0,738,0,232,13,20,50,2,3,5,7,3,0,0,0,0,0,0
1974,0,2,1,0,1,9,502,12,109,16,6,90,2,7,2,10,2,0,0,0,0,0,0
1969,0,2,0,1,0,2,11,0,5,2,1,1,1,1,0,3,3,0,0,0,0,0,0
1952,4,4,0,0,0,9,24,1,108,29,29,14,1,4,1,4,3,0,0,0,0,0,0
1958,1,1,2,0,1,1,1170,19,594,99,76,134,2,2,5,12,2,0,0,0,0,0,0
1976,0,3,1,1,0,9,185,2,88,15,5,14,2,6,1,5,3,0,0,0,0,0,0
1964,2,0,1,0,1,7,691,0,69,10,0,130,4,2,6,3,3,0,0,0,0,0,0
1944,1,3,1,0,0,8,504,13,131,8,0,26,1,9,4,6,3,0,1,0,0,0,0
1962,2,3,1,0,1,8,317,25,265,25,19,12,3,5,3,11,2,0,0,0,0,0,0
1978,0,3,1,0,1,2,29,1,9,2,0,2,1,2,0,3,1,0,0,0,0,0,0
1971,1,1,2,0,1,8,1396,0,322,46,35,17,1,4,9,4,2,0,0,0,0,0,0
1949,1,1,1,0,1,6,529,0,356,63,28,0,3,6,7,11,1,0,0,0,0,0,0
1944,0,2,1,0,0,0,388,14,218,91,14,21,1,4,3,13,0,0,0,0,0,0,0
1950,0,1,0,1,1,9,13,2,21,4,0,24,2,1,1,2,3,0,0,0,0,0,0
1961,2,1,1,0,1,0,28,0,4,0,0,0,1,1,0,3,2,0,0,0,0,0,0
1990,3,2,0,0,0,0,16,36,21,20,62,108,1,4,1,3,3,0,0,0,0,0,0
1985,1,2,1,1,0,6,1047,0,140,67,38,153,2,4,3,12,3,0,0,0,0,0,0
1956,2,1,1,0,1,4,31,0,7,2,0,6,1,1,0,3,2,0,0,0,0,0,0
1953,0,4,1,0,0,2,815,10,239,28,10,108,2,10,4,12,2,0,0,0,0,0,0
1989,0,0,2,0,0,7,493,70,324,146,40,84,1,3,7,11,0,0,0,0,0,0,0
1992,0,2,0,0,0,7,34,4,66,3,10,20,1,2,1,4,3,0,0,0,0,0,0
1981,1,1,1,1,0,9,127,1,56,0,1,31,3,4,2,3,3,1,0,0,0,0,0
1979,0,0,1,0,1,0,325,83,300,86,58,91,1,6,4,12,1,0,0,0,0,0,0
1964,0,2,1,0,2,9,238,17,68,8,10,6,3,6,2,5,3,0,1,0,0,0,0
1959,2,1,2,0,0,7,1168,92,408,72,129,55,1,5,6,7,0,0,0,1,0,0,0
1946,1,1,1,0,1,6,284,0,55,0,6,52,4,6,2,5,3,0,0,0,0,0,0
1975,2,0,2,0,0,4,1288,20,613,80,61,27,1,5,7,9,0,0,0,0,0,0,0
1961,0,2,1,1,1,0,65,0,46,4,3,20,4,3,1,3,3,0,0,0,0,0,0
1990,0,0,0,1,0,7,11,7,9,3,1,11,1,1,0,3,3,0,0,0,0,0,0
1959,0,1,2,0,0,2,227,23,389,42,21,75,1,4,5,7,0,0,0,0,0,0,0
1965,0,3,0,1,1,6,27,1,12,2,0,10,2,2,0,3,3,0,0,0,0,0,0
1987,2,0,2,0,0,9,982,73,351,56,14,175,1,2,4,6,2,1,0,0,0,0,0
1991,0,2,1,0,0,4,179,2,64,38,17,58,1,5,1,6,2,0,0,0,0,0,0
1953,0,2,2,0,0,7,1379,33,216,0,33,66,1,2,4,9,2,0,1,1,0,0,0
1987,0,2,0,1,0,3,32,1,64,16,12,85,3,2,2,3,2,0,0,0,0,0,1
1986,0,2,0,1,0,7,8,4,15,7,6,2,1,1,0,3,3,0,0,0,0,0,0
1958,1,1,2,0,0,2,881,38,319,16,25,12,1,4,5,10,0,0,0,0,0,0,0
1977,2,2,1,0,0,7,141,15,153,67,31,35,1,4,4,6,1,0,0,0,0,0,0
1960,1,2,1,1,1,6,206,10,67,30,27,71,6,4,1,8,2,0,0,0,0,0,0
1975,4,4,1,0,1,8,162,61,83,97,57,61,4,4,3,8,2,0,0,0,0,0,0
1969,0,0,2,0,1,6,619,54,260,127,54,54,1,4,7,5,0,0,0,0,0,0,0
1977,2,1,1,1,1,5,456,4,24,0,0,9,7,8,2,6,3,0,1,0,0,0,0
1962,0,2,1,1,1,6,112,6,92,3,9,38,2,3,2,5,1,0,0,0,0,0,0
1982,0,0,0,1,0,5,11,3,22,2,2,6,2,2,0,3,2,0,0,0,0,0,0
1951,2,1,1,0,1,7,172,12,112,8,0,15,4,6,1,5,3,0,0,0,0,0,0
1967,0,1,1,0,1,0,78,0,11,0,0,7,1,2,1,3,2,0,0,0,0,0,0
1952,4,1,1,0,1,5,99,4,32,37,54,6,2,2,1,7,0,0,0,0,0,0,0
1981,2,0,0,1,0,6,19,3,19,4,5,26,3,3,0,3,3,0,0,0,0,0,0
1977,4,1,0,1,0,4,1,9,8,11,3,22,3,3,0,3,3,0,0,0,0,0,0
1969,0,4,1,0,1,3,63,10,83,7,19,19,2,4,1,4,3,0,0,0,0,0,0
1984,1,0,1,1,0,3,252,3,42,4,3,102,2,4,5,3,2,0,0,0,0,0,0
1982,1,2,2,0,0,0,1478,19,403,0,19,0,1,7,6,6,1,0,1,1,0,0,1
1976,0,1,1,0,1,5,198,18,252,32,108,54,2,4,6,8,1,0,0,0,0,0,0
1990,4,2,0,1,0,9,8,4,10,6,7,6,2,2,0,4,2,0,0,0,0,0,0
1980,0,2,1,1,0,7,42,7,43,20,12,10,1,3,0,4,2,0,0,0,0,0,0
1968,0,2,0,1,1,4,14,3,21,2,1,28,4,3,1,2,3,1,0,0,0,0,1
1973,2,2,0,1,1,3,17,0,3,0,0,1,2,1,0,3,2,0,0,0,0,0,0
1963,4,0,1,1,1,8,15,4,10,3,4,18,2,1,1,3,1,0,0,0,0,0,0
1989,0,0,0,1,0,0,6,16,24,11,0,34,2,3,1,2,3,1,0,0,0,0,1
1971,1,0,1,0,1,7,458,0,24,6,4,34,2,6,2,8,2,0,0,0,0,0,0
1963,0,2,0,0,0,7,30,3,47,19,21,42,1,3,2,2,3,0,0,0,0,0,0
1949,2,2,2,0,0,0,179,28,520,111,123,47,1,3,8,13,0,0,0,0,0,0,1
1952,0,1,1,1,1,5,90,17,97,15,6,15,6,4,1,5,3,0,0,0,0,0,0
1978,1,0,1,1,0,5,308,85,137,102,45,118,2,6,2,11,2,0,0,0,0,0,0
1970,4,2,0,0,0,2,7,4,13,15,8,17,2,2,0,4,2,0,0,0,0,0,0
1959,0,1,2,0,1,6,1492,38,287,50,57,33,1,5,10,4,2,0,1,1,1,1,1
1978,0,2,0,1,0,0,30,8,12,8,8,12,1,2,0,4,2,0,0,0,0,0,0
1971,2,1,2,0,1,1,465,25,132,136,0,37,2,8,3,13,1,0,0,0,0,0,0
1970,4,2,1,0,1,1,129,129,259,168,121,83,5,6,3,12,1,0,0,0,0,0,0
1963,1,3,1,0,1,0,174,18,81,28,6,24,3,3,2,7,1,0,0,0,0,0,0
1950,1,1,1,0,1,4,189,2,29,3,2,40,2,3,2,5,1,0,0,0,0,0,0
1962,0,0,1,0,1,8,747,10,161,65,40,42,4,4,2,9,3,0,0,0,0,0,0
1951,2,1,0,1,1,6,6,0,2,2,0,1,1,1,0,2,2,0,0,0,0,0,0
1979,0,0,1,0,1,4,14,0,3,0,0,4,1,1,0,2,2,0,0,0,0,0,0
1970,0,1,1,1,1,1,12,0,4,0,0,1,1,1,0,2,3,0,0,0,0,0,0
1974,0,2,1,0,1,2,98,0,106,49,10,106,5,5,1,5,2,0,0,0,0,0,0
1968,1,2,1,1,1,5,32,0,5,0,0,1,2,1,0,3,3,0,0,0,0,0,0
1978,4,0,1,1,0,4,51,12,49,17,24,24,3,4,1,3,3,0,0,0,0,0,0
1970,1,1,1,0,1,2,200,5,44,0,10,20,1,5,1,5,2,0,0,0,0,0,0
1981,2,2,1,1,0,5,25,6,25,6,0,0,2,2,0,3,3,0,0,0,0,0,0
1977,1,2,1,0,1,2,1050,12,144,0,0,24,3,6,4,8,2,0,1,0,1,1,1
1968,0,2,1,1,1,1,117,0,22,13,0,30,3,4,1,3,3,0,0,0,0,0,0
1970,0,2,0,1,1,4,9,4,17,10,2,7,4,3,0,3,3,0,0,0,0,0,0
1966,1,1,1,1,1,3,56,0,11,0,0,8,2,2,0,4,2,0,0,0,0,0,0
1956,2,1,1,1,1,8,145,13,46,17,2,4,6,4,2,4,3,0,0,0,0,0,0
1974,1,2,1,1,1,6,203,0,10,0,0,2,5,3,1,6,2,0,1,0,0,0,0
1951,0,1,1,0,1,6,270,3,27,39,6,99,7,7,1,5,3,0,0,0,0,0,0
1967,4,1,1,1,1,5,9,0,16,6,6,10,1,1,0,3,3,0,0,0,0,0,0
1951,2,2,0,0,0,5,37,12,23,8,11,52,1,2,1,3,3,0,0,0,0,0,0
1983,0,1,1,1,0,6,46,0,7,0,0,2,2,2,0,3,2,0,0,0,0,0,0
1971,4,1,0,1,1,1,31,1,13,7,2,9,4,2,1,4,1,0,0,0,0,0,0
1961,2,2,1,0,1,7,264,47,188,54,47,11,2,4,4,10,0,0,0,0,0,0,0
1955,0,1,1,0,1,0,399,4,30,6,4,30,3,7,1,7,3,0,1,0,0,0,0
1959,0,1,0,0,0,9,8,9,9,2,5,22,1,1,1,3,1,0,0,0,0,0,0
1984,1,0,1,1,0,4,19,0,35,6,4,17,2,2,1,2,3,0,0,0,0,0,1
1965,2,0,2,0,0,9,292,127,635,132,127,165,1,3,7,9,0,0,0,0,0,0,0
1977,0,1,0,1,0,0,12,6,2,11,2,16,1,1,0,3,1,0,0,0,0,0,0
1972,1,2,1,0,0,4,130,30,168,20,34,0,1,3,4,7,0,0,0,0,0,0,0
1975,2,1,0,1,0,1,6,4,16,3,10,30,3,3,1,2,3,0,0,0,0,0,1
1969,0,3,0,1,0,8,16,12,18,7,1,13,1,2,0,3,3,0,0,0,0,0,0
1969,2,2,1,1,1,2,19,0,9,0,0,2,2,1,0,3,3,0,0,0,0,0,0
1978,4,2,0,1,0,3,4,7,15,13,9,15,3,2,1,3,2,0,0,0,0,0,0
1981,0,1,0,1,0,5,31,3,31,2,8,4,3,3,0,4,3,0,0,0,0,0,0
1961,0,0,0,0,1,2,36,0,2,0,0,4,1,1,0,3,3,0,0,0,0,0,0
1960,0,1,1,0,1,8,526,28,135,10,21,99,3,5,3,12,2,0,0,0,0,0,0
1955,0,0,2,0,0,7,400,32,519,71,75,54,1,3,4,9,0,0,0,0,0,0,0
1948,1,2,1,0,2,6,410,16,114,0,5,49,3,5,2,10,2,0,0,0,0,0,0
1966,2,1,1,1,1,7,80,3,26,4,2,14,4,3,1,3,3,0,0,0,0,0,0
1986,2,0,0,1,0,1,88,10,46,2,3,64,4,5,1,2,4,0,0,0,0,0,1
1973,0,4,1,0,1,9,55,0,6,2,0,4,2,1,1,3,2,0,0,0,0,0,0
1956,0,3,0,2,1,6,5,1,13,3,5,1,1,1,0,3,3,0,0,0,0,0,0
1975,3,2,0,0,1,2,8,4,5,15,2,11,2,1,0,3,3,0,0,0,0,0,0
1965,0,2,2,0,0,8,410,0,592,147,22,22,1,6,4,7,1,0,0,0,1,0,0
1969,2,0,0,0,0,7,101,13,76,20,18,40,2,3,1,6,2,0,0,0,0,0,0
1944,2,4,1,0,0,9,162,25,53,16,0,10,1,3,1,7,1,0,0,0,0,0,0
1973,3,2,0,1,0,4,2,8,1,4,7,15,1,1,0,3,3,0,0,0,0,0,0
1967,0,2,0,2,1,2,25,0,8,2,0,2,2,2,0,3,3,0,0,0,0,0,0
1969,1,0,1,0,0,7,389,91,248,64,49,41,3,6,3,13,2,0,0,0,0,0,1
1974,0,2,1,1,1,8,215,13,87,17,17,24,5,6,2,5,3,0,0,0,0,0,0
1965,2,0,0,2,1,9,27,0,5,0,0,3,2,1,0,3,3,0,0,0,0,0,0
1978,0,4,1,1,1,3,5,6,10,6,5,10,1,1,0,3,1,0,0,0,0,0,0
1960,2,2,0,0,1,0,179,8,83,19,11,26,5,1,2,9,0,0,0,0,0,0,0
1961,1,2,1,0,1,2,352,0,27,10,0,15,3,6,1,7,2,0,0,0,0,0,0
1971,0,0,0,0,0,9,17,8,12,11,15,32,1,2,1,2,3,0,0,0,0,0,0
1949,0,4,2,0,0,5,625,35,169,58,17,35,1,4,3,6,0,0,1,1,0,0,0
1978,4,0,1,1,0,5,10,6,11,0,4,2,1,1,0,3,3,0,0,0,0,0,0
1955,4,2,2,0,0,5,390,22,323,104,35,107,1,6,8,6,1,0,0,0,1,0,0
1976,0,2,0,1,0,9,10,2,15,2,1,6,2,2,0,3,2,0,0,0,0,0,0
1960,0,1,2,0,1,2,1001,17,572,93,125,17,7,11,11,5,3,0,0,0,0,0,1
1977,1,3,0,1,1,9,19,18,33,24,1,8,3,3,0,3,4,0,0,0,0,0,0
1977,0,0,0,1,0,7,41,5,129,10,3,3,3,4,1,4,4,0,0,0,0,0,0
1970,1,2,1,1,0,4,1181,107,199,39,30,30,2,7,3,13,3,0,0,0,0,0,0
1958,1,1,1,0,0,4,603,45,207,36,18,54,1,3,4,6,0,0,0,0,0,0,0
1970,4,2,1,0,1,1,129,129,259,168,121,83,5,6,3,12,1,0,0,0,0,0,0
